@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-V-R685,1441,1432,1442,676,686,684,1440,712,713,671,1446,1584'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile1 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute lspFreq_sma[7]_pctlrange0-1 numeric
@attribute F0final_sma_percentile99.0 numeric
@attribute gender {m,f}

@data
215.0805,193.8117,192.0729,227.8444,215.9864,233.8187,189.7139,169.0089,0.850446,0.608247,0.208703,328.0544,f
135.291,98.09648,96.06447,127.3801,134.0145,143.653,124.6837,51.43105,0.770248,0.51982,0.321409,156.4928,m
142.0715,138.1774,114.9689,157.0079,119.2356,157.0975,104.1776,67.16882,0.778139,0.778139,0.649344,192.6689,m
124.7171,119.0531,116.4399,138.4931,126.8575,140.9041,116.234,107.6768,0.786138,0.786138,0.298279,155.531,m
208.0254,193.4085,176.345,212.6862,211.5871,217.5208,202.9892,138.7754,0.843172,0.843172,0.229106,260.0732,f
190.9369,182.3392,165.0536,214.0856,191.6167,213.6874,172.061,123.865,0.836914,0.647806,0.22788,255.91,f
172.4532,170.694,168.9807,207.1077,183.0387,209.0131,158.7731,153.6586,0.839021,0.644737,0.255336,247.3904,f
189.8311,184.707,173.5324,204.2569,188.2265,203.3561,179.9181,173.3188,0.848826,0.630851,0.192238,220.6543,f
231.9283,212.6692,199.1103,235.4289,233.2427,250.2097,217.1669,180.8172,0.840588,0.840588,0.285645,273.0949,f
141.7375,134.6899,125.3016,146.0624,138.2472,145.6052,130.2607,109.6481,0.791417,0.791417,0.299128,168.9417,m
210.2317,210.0268,194.0521,243.9288,202.5178,239.307,188.5163,150.5065,0.861229,0.861229,0.317541,274.6625,f
229.5822,227.7873,220.1537,265.6814,241.0788,262.923,216.2596,207.7631,0.870943,0.870943,0.190118,315.9998,f
109.0911,102.777,100.6864,119.3831,110.8227,120.2493,99.24927,91.7169,0.788804,0.423062,0.261752,149.7389,m
107.438,104.7156,95.1617,111.2113,103.5664,111.6583,99.09983,96.1059,0.775175,0.753913,0.182493,123.0747,m
220.5295,214.405,201.7018,231.7292,220.114,234.7312,207.6852,193.0406,0.846831,0.846831,0.18792,264.3079,f
164.0678,160.9003,151.6112,168.7094,170.0682,171.5493,157.6579,151.1733,0.814844,0.603733,0.414145,240.2255,f
146.9261,126.5414,136.2174,163.632,145.4149,168.2441,112.2947,103.977,0.824193,0.631298,0.251219,299.8787,m
219.1443,216.9819,207.109,238.0531,219.9022,238.2531,200.402,192.7946,0.871868,0.236751,0.299337,272.2428,f
129.4344,119.5675,102.5694,132.2393,126.0631,130.5309,121.8388,68.25287,0.748678,0.748678,0.229704,165.3905,m
114.8183,110.2088,106.475,123.9172,116.3763,123.8917,102.228,95.27869,0.78689,0.78689,0.488649,157.7263,m
133.9714,122.0181,112.137,134.9013,128.7601,139.1694,120.2201,96.90112,0.791329,0.791329,0.358492,159.3292,m
128.4452,125.4218,132.9661,178.8422,143.0063,173.4663,121.4576,110.5974,0.818566,0.433044,0.22979,225.0874,m
171.8439,165.2547,154.8272,181.0804,174.5698,183.3818,161.8134,151.1776,0.811006,0.587068,0.34155,220.9424,f
108.7545,107.2898,97.19999,116.8239,110.3073,122.3182,104.3678,77.65244,0.775145,0.775145,0.55122,166.1348,m
